 Eiffage,FR0000130452,FGR
 Electricité de ...,FR0000031023,ELEC
 Electricité et eaux de ...,FR0000035719,EEM
 Electro power,FR0012650166,EPS
 Elior group,FR0011950732,ELIOR
 Elis,FR0012435121,ELIS
 Encres dubuit,FR0004030708,DBT
 Eneovia,FR0010535849,MLENE
 Engie,FR0010208488,ENGI
 Entreprendre,FR0000045122,ALENR
 Eo2,FR0010465534,ALEO2
 Eramet,FR0000131757,ERA
 Esperite,NL0009272137,ESP
 Essilor international,FR0000121667,EI
 Esso,FR0000120669,ES
 Est républicain,FR0005310463,MLEST
 Etam développement,FR0000035743,TAM
 Euler hermes,FR0004254035,ELE
 Eurasia foncière ...,FR0000061475,EFI
Eurasia groupe,FR0010844001,ALEUA
 Eurazeo,FR0000121121,RF
Eurinnov,FR0011035187,MLERI
 Euro disney,FR0010540740,EDL
 Euro ressources,FR0000054678,EUR
Eurofins cerep,FR0012413771,ALECR
 Eurofins scientific,FR0000038259,ERF
 Euroland corporate,FR0010157115,MLERO
 Europacorp,FR0010490920,ECP
 Everset,FR0000044745,MLEVE
 Exacompta clairefontaine,FR0000064164,EXAC
 Explosifs et produits ...,FR0000039026,EXPL
 Facilasol group,FR0010627760,MLFAC
 Faiveley transport,FR0000053142,LEY
Fashion b air,FR0004034593,ALFBA
 Faurecia,FR0000121147,EO
 Fauvet-girel,FR0000063034,FAUV
Fayenc.sarreguemi.,FR0000031973,FAYE
 Ferco développement,FR0010071530,MLFER
Fermière du casino de ...,FR0000062101,FCMC
 Ffp,FR0000064784,FFP
Fiducial office solutions,FR0000061418,SACI
Fiducial real estate,FR0000060535,ORIA
 Fiebm,FR0000062341,BERR
 Fimalac,FR0000037947,FIM
 Financière croissance ...,FR0010480517,MLFCI
Financière hoche ...,FR0000051302,MLHBB
Financière marjos,FR0000060824,FINM
 Financière martin maurel,FR0006321998,MLFMM
 Financière sicomax,FR0000066797,MLSIC
 Finatis,FR0000035123,FNTS
Finaxo environnement,FR0010487272,MLFXO
Flo (groupe),FR0004076891,FLO
 Foncière 7 ...,FR0000065930,LEBL
Foncière euris,FR0000038499,EURS
Foncière paris nord,FR0011277391,FPN
 France tourisme,FR0010823724,MLFTI
 France-chauffage,FR0004260479,MLFRC
 Freelance.com,FR0004187367,ALFRE
Fromageries bel,FR0000121857,FBEL
 Futuren,FR0011284991,FTRN
 G.a.i.,FR0000053415,MLGAI
Galéo concept,FR0011100759,MLGAL
 Galloo ile-de-france,FR0000077232,MLGRD
 Gameloft,FR0000079600,GFT
 Gascogne,FR0000124414,ALBI
Gaussin,FR0010342329,ALGAU
Gea (grenobloise ...,FR0000053035,GEA
 Geci international,FR0000079634,GECP
 Gel groupe,FR0012336675,MLGEL
 Gemalto,NL0000400653,GTO
 Générale de santé,FR0000044471,GDS
Georex,FR0000057945,MLGEO
 Gévelot,FR0000033888,ALGEV
 Gfi informatique,FR0004038099,GFI
Giorgio fedon & figli,IT0001210050,FED
 Global interface,FR0010108688,MLGLO
 Gold by gold,FR0011208693,ALGLD
 Grand marnier,FR0000038036,MALA
Grands moulins de ...,FR0000064180,GDMS
 Green energy 4 seasons,BE0948833760,MLGES
 Grosse (léon),FR0005717626,MLLEO
Groupe carnivor,FR0000076960,MLGRC
 Groupe crit,FR0000036675,CEN
 Groupe jaj,FR0004010338,GJAJ
 Groupe pizzorno ...,FR0010214064,GPE
 Groupe seb,FR0000121709,SK
 Groupimo,FR0010490961,ALIMO
 Gtt,FR0011726835,GTT
 Guillemot corporation,FR0000066722,GUI
Guy degrenne,FR0004035061,GUYD
 Havas,FR0000121881,HAV
 Hermès international,FR0000052292,RMS
 Heurtey petrochem,FR0010343186,ALHPC
 Hi-media,FR0012821890,HIM
 Highco,FR0000054231,HCO
 Hiolle industries,FR0000077562,ALHIO
 Hitechpros,FR0010396309,ALHIT
 Holosfind,FR0010446765,ALHOL
 Home concept,FR0012336691,MLHCF
 Hôtel majestic cannes,FR0006226791,MLHMC
 Hotelim,FR0000053738,MLHOT
 Hsbc holdings,GB0005405286,HSB
Hubwoo,FR0004052561,HBW
 Hydraulique pb,FR0000064735,MLHYD
 Hydro exploitations,FR0005843125,MLHYE
I2s,FR0005854700,ALI2S
 Id logistics,FR0010929125,IDL
 Ids,FR0000079691,MLIDS
Idsud,FR0000062184,ALIDS
Iec professionnel media,FR0000066680,VDLO
 Iliad,FR0004035913,ILD
 Imalliance,FR0010086371,MLIML
 Imerys,FR0000120859,NK
Immersion,FR0013060100,ALIMR
 Imprimerie chirat,FR0000065773,MLIMP
 Infoclip,FR0011158823,MLIFC
 Infosat telecom,FR0010688465,MLSAT
 Ingenico,FR0000125346,ING
Innelec multimédia,FR0000064297,INN
 Installux,FR0000060451,STAL
 Institut régional de ...,FR0000124232,DP
 Integral,FR0012880482,MLITG
 Intexa,FR0000064958,ITXT
Inventoriste,FR0010082305,ALIVA
 Ipsos,FR0000073298,IPS
 Iscool entertainment,FR0004060671,ALISC
 It link,FR0000072597,ITL
 Jane france,FR0011442235,MLJAN
 Jcdecaux,FR0000077919,DEC
 Kaufman & broad,FR0004007813,KOF
 Kering,FR0000121485,KER
 Keyrus,FR0004029411,KEY
 Keyyo,FR0000185621,ALKEY
 Kimoce,FR0000074692,MLKIM
 Korian,FR0010386334,KORI
Krief group,FR0004152700,MLKRI
 L'oréal,FR0000120321,OR
Lafuma,FR0000035263,LAF
 Lagardère,FR0000130213,MMB
 Ldc,FR0000053829,LOUP
 Le bélier,FR0000072399,BELI
Leaderlease,FR0010921163,MLLEA
Lecteurs du monde,FR0000034779,MLLEM
 Legrand,FR0010307819,LR
 Les hôtels de paris,FR0004165801,HDP
 Les maisons d'aujourd'hui,FR0010515742,MLMAI
 Les trois chênes,FR0000076481,MLTRC
 Les vérandas 4 saisons,BE6201089735,MLV4S
 Lexibook,FR0000033599,ALLEX
 Lisi,FR0000050353,FII
 Locasystem international,FR0004155208,MLLOI
 Locindus,FR0000121352,LD
 Logic instrument,FR0000044943,ALLOG
 Lombard & medot,FR0006205019,MLCAC
Lucibel,FR0011884378,ALUCI
 Luigi botto,IT0005072035,MLLB
 Lvmh,FR0000121014,MC
 M2i,FR0010778050,MLMII
 M6 métropole ...,FR0000053225,MMT
Magillem design services,FR0010827741,MLMGL
 Mainstay medical,IE00BJYS1G50,MSTY
 Maisons du monde,FR0013153541,MDM
 Malteries franco-belges,FR0000030074,MALT
Media 6,FR0000064404,EDI
 Mersen,FR0000039620,MRN
Metalliance,FR0010492181,MLETA
 Méthanor,FR0011217710,ALMET
 Meubles délias,FR0004078186,MLMED
Mfi condor,BE6252013725,MLMFI
 Mg international,FR0010204453,ALMGI
 Mgi coutier,FR0000053027,MGIC
 Michelin,FR0000121261,ML
 Millet innovation,FR0010304402,ALINN
 Mnr group,FR0010976746,MLMNR
 Monceau fleurs,FR0010554113,ALEMV
 Moncey (financière),FR0000076986,MONC
 Monfinancier,FR0010882886,MLMON
Motocycles ardoin,FR0005057635,MLARD
Moviken,FR0010981548,MLMOV
Mtd finance,FR0010518936,MLMTD
 Musée grévin,FR0000037970,GREV
 Nanobiotix,FR0011341205,NANO
 Nationale de propriété ...,FR0000061376,MLPRI
 Natixis,FR0000120685,KN
 Neocom multimedia,FR0004157543,MLNEO
 Neolife,FR0011636083,MLNLF
 Neopost,FR0000120560,NEO
 Netgem,FR0004154060,NTG
 News invest,FR0010358507,MLNEI
 Nexans,FR0000044448,NEX
 Nexity,FR0010112524,NXI
 Nicolas miguet et ...,FR0010500363,MLNMA
 Nokia,FI0009000681,NOKIA
 Novaday,FR0011421817,MLLED
 Novaé technologies,FR0010978924,MLNOT
 Novamex,FR0004155174,MLQUD
 Novatech industries,FR0000185464,MLNOV
 Nsc groupe,FR0000064529,NSGP
Nse industries,FR0004065639,ALNSE
 Numericable-sfr,FR0011594233,NUM
 O2i,FR0010231860,ALODI
Odet (financière de l'),FR0000062234,ODET
 Oeneo,FR0000052680,SBT
Olmix,FR0010176115,MLOLM
 Olympique lyonnais groupe,FR0010428771,OLG
 Onlineformapro,FR0004174712,MLONL
 Optimus,FR0010312181,MLOPT
 Orange,FR0000133308,ORA
 Orchestra-premaman,FR0010160564,KAZI
 Orège,FR0010609206,OREGE
 Orpéa,FR0000184798,ORP
 Pacte novation,FR0000077992,MLPAC
Parisienne de chauffage ...,FR0000052896,CHAU
 Participations ...,FR0006823092,MLHOP
Pascal piveteau,FR0012146629,MLPPI
 Passat,FR0000038465,PSAT
 Pernod ricard,FR0000120693,RI
 Peugeot,FR0000121501,UG
 Pgo automobiles,FR0000057895,MLPGO
 Phenix systems,FR0011065242,ALPHX
 Phone web,FR0000185480,MLPHW
 Pierre & vacances,FR0000073041,VAC
Piscines desjoyaux,FR0000061608,ALPDX
Piscines groupe ga,FR0010357145,ALPGG
Placoplatre,FR0000030769,MLPLC
 Plastic omnium,FR0000124570,POM
 Point parfums,FR0012735355,MLPPF
 Pol-roger et compagnie,FR0000064644,MLPOL
Proventec,GB00B2R1Q018,ALOSP
 Publicis groupe,FR0000130577,PUB
Quotium technologies,FR0010211615,QTE
Radiall,FR0000050320,RLL
 Rallye,FR0000060618,RAL
 Raphaël michel,FR0010038570,MLRAM
 Rapido pret,FR0012395457,ML350
 Recylex,FR0000120388,RX
 Rémy cointreau,FR0000130395,RCO
 Renault,FR0000131906,RNO
 Rexel,FR0010451203,RXL
 Robertet ci,FR0000045601,CBE
 Rothschild & co,FR0000031684,ROTH
 Rousselet centrifugation,FR0000035750,MLROU
 Rubis,FR0000121253,RUI
 Safran,FR0000073272,SAF
 Safti groupe,FR0011233261,ALSFT
 Saint-gobain,FR0000125007,SGO
 Salvepar,FR0000124356,SY
Samse,FR0000060071,SAMS
 Sanofi,FR0000120578,SAN
 Sapmer,FR0010776617,ALMER
 Sartorius sted bio,FR0013154002,DIM
 Scemi,FR0010972091,MLCMI
 Schneider electric,FR0000121972,SU
 Scor se,FR0010411983,SCR
 Sécuridev,FR0000052839,DOMS
 Sécurinfor,FR0000071755,MLSEC
 Sequana,FR0011352590,SEQ
 Serma technologies,FR0000073728,ALSER
 Signaux girod,FR0000060790,GIRO
 Silc,FR0010679365,MLSIL
Silkan rt,FR0010518605,MLARI
 Simo international,FR0004038818,MLSIM
 Siparex croissance,FR0000061582,ALSIP
 Siph (internationale de ...,FR0000036857,SIPH
 Smalto,FR0011131788,MLSML
 Smtpc,FR0004016699,SMTPC
 Société française de ...,FR0010209809,SFCA
 Société générale,FR0000130809,GLE
 Société hôtelière ...,FR0006563904,MLHIN
 Sodexo,FR0000121220,SW
 Sodifrance,FR0000072563,SOA
 Soditech ingénierie,FR0000078321,SEC
 Sofibus patrimoine,FR0000038804,SFBS
 Sofragi,FR0000030140,SOFR
Solia,FR0010480533,MLSOL
 Solvay,BE0003470755,SOLB
 Somfy,FR0000120495,SO
 Sopra group,FR0000050809,SOP
 Speed rabbit pizza,FR0000054371,MLSRP
 Spie,FR0012757854,SPIE
 Spir communication,FR0000131732,SPI
 Sporever,FR0010213215,ALSPO
St dupont,FR0000054199,DPT
 Stallergenes greer,GB00BZ21RF93,STAGR
 Stef,FR0000064271,STF
Stmicroelectronics,NL0000226223,STM
 Streit industries,FR0000063976,MLSTR
 Suez environnement ...,FR0010613471,SEV
 Sword group,FR0004180578,SWP
 Synergie,FR0000032658,SDG
Tayninh,FR0000063307,TAYN
 Team,FR0000033466,MLTEA
 Technicolor,FR0010918292,TCH
 Technip,FR0000131708,TEC
Technofan,FR0000065450,TNFN
 Technoflex,FR0000185795,MLTEK
 Telecom design,FR0000184806,MLTED
 Teleperformance,FR0000051807,RCF
 Télévista,FR0011076595,MLVST
 Tf1,FR0000054900,TFI
 Thales,FR0000121329,HO
 Thermes de saujon,FR0007261425,MLTDS
 Thermocompact,FR0004037182,THER
Tonna electronique,FR0000064388,TONN
 Total,FR0000120271,FP
 Tpsh,FR0011040690,MLPSH
 Tramways de rouen,FR0000031866,MLTRA
Tramways du var et du ...,FR0000051567,MLCVG
 Transgene,FR0005175080,TNG
 Trilogiq,FR0010397901,ALTRI
 Troc de l ile,FR0000031106,MLTRO
Trsb groupe,FR0010500793,MLTRS
 Tti,FR0010383877,ALTTI
 Tuto4pc.com group,FR0011068766,ALTUT
 Txcom,FR0010654087,ALTXC
 Ubisoft entertainment,FR0000054470,UBI
 Ulric de varens,FR0000079980,ULDV
Umalis group,FR0011776889,MLUMG
 Umanis,FR0010949388,ALUMS
 Unibel,FR0000054215,UNBL
 Union financière de ...,FR0000034548,UFF
 Union métallurgique de ...,FR0005783503,MLUMH
 Union technologies ...,FR0000074197,FPG
 Uniti,FR0012709160,MLUNT
 Usg,FR0012060036,MLUSG
 Valeo,FR0013176526,FR
 Vallourec,FR0000120354,VK
 Veolia environnement,FR0000124141,VIE
 Vergnet,FR0004155240,ALVER
 Verneuil participations,FR0000062465,VRNL
 Verney-carron,FR0006174496,MLVER
 Vet'affaires,FR0000077158,VET
 Viapresse,FR0010326090,ALVIA
 Vicat,FR0000031775,VCT
 Viel & compagnie,FR0000050049,VIL
 Vilmorin & cie,FR0000052516,RIN
 Vinci,FR0000125486,DG
Visio nerf,FR0010033480,MLVIS
 Visiodent,FR0000065765,SDT
 Vivendi,FR0000127771,VIV
 Voltalia,FR0010302224,VLTNR
 Vopium,DK0060129575,MLVOP
 Vranken pommery monopole,FR0000062796,VRAP
 We.connect,FR0013079092,ALWEC
Wedia,FR0010688440,ALWED
 Wendel,FR0000121204,MF
 Weya,FR0010768770,MLWEY
 Worldline,FR0011981968,WLN
 Wt,FR0000184822,MLWTT
 Xpo logistics,FR0000052870,XPO
 Zodiac aérospace,FR0000125684,ZC
